,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
2,dontpanic,"Jun 23rd, 2020 2:00 pm",,"Jun 26th, 2020 11:59 pm",Computers & Electronics,125,18,$15,,Peripherals & Accessories,Hot -Razer Kiyo Webcam - $125 (after sign up code)!!,https://www.razer.com/ca-en/streaming-cameras/razer-kiyo/RZ19-02320100-R3M1,4776,10
3,Alfred25,"Jun 24th, 2020 9:49 pm","June 30, 2020","Jun 26th, 2020 11:07 pm",Computers & Electronics,399.99,26,30%,Amazon.ca,Peripherals & Accessories,SanDisk 2TB Extreme PRO Portable External SSD - updated $399.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07TNR2CXJ%2F%3Fcoliid%3DI13J18QUJYOAQ8&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,5257,-6
4,Canadianbac0n,"Jun 26th, 2020 8:26 pm",,"Jun 26th, 2020 9:54 pm",Sports & Fitness,49.99,2,50%,Canadian Tire,Other,Coleman Wheeled Cooler with Handle 50 quart $49.99,https://www.canadiantire.ca/en/pdp/coleman-wheeled-cooler-with-handle-47-3-l-0853150p.html#srp,1771,3
5,Messerschmitt,"Jun 6th, 2020 7:40 pm",,"Jun 26th, 2020 9:46 pm",Home & Garden,31.47,15,,Amazon.ca,Other,"SR SUN RISE 6-Settings 4.8"" High Pressure Handheld Shower Head Set $31.47",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FSR-SUN-RISE-6-Settings-Pressure%2Fdp%2FB07FKHCGK1%2Fref%3Dsr_1_5%3Fdchild%3D1%26keywords%3Dshower%2Bhead%26qid%3D1591486586%26sr%3D8-5&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,5105,10
6,systemdude,"Apr 29th, 2020 6:54 am",,"Jun 26th, 2020 9:44 pm",Financial Services,,240,,TD Bank,Mortgages & Loans,TD fixed rate 2.54% mortgage,,59355,-11
7,SYCvie,"Jun 26th, 2020 8:35 pm","July 1, 2020","Jun 26th, 2020 8:35 pm",Home & Garden,39.99,0,33% off,PetSmart,Pets,Nutrience?? Grain Free SubZero Cat Food - 5kg for $39.99,https://www.petsmart.ca/featured-brands/nutrience/cat/nutrience-grain-free-subzero-cat-food---fraser-valley-30920.html?cgid=5000139,582,3
8,canada_dry,"Jun 26th, 2020 5:06 pm","June 28, 2020","Jun 26th, 2020 8:28 pm",,$3,9,50%,Loblaws,Groceries,Instore bakery 1.5LB Apple Pie $3 (w/ PC optimum card),,1917,10
9,phoreoneone,"Jun 10th, 2020 2:02 pm",,"Jun 26th, 2020 8:24 pm",Beauty & Wellness,,43,,Walmart,Beauty Supplies & Personal Care,"Philips Multigroom 5000 Face, Head and Body $35",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fphilips-multigroom-5000-face-head-and-body%2F6000197315068&amp;u1=rfdcb,13767,14
10,wills1,"Mar 3rd, 2020 9:45 pm",,"Jun 26th, 2020 8:04 pm",,180,74,,Costco,Home & Garden,Ninja Foodi Indoor Grill $180,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FNinja-Cyclonic-Grilling-Technology-AG300C%2Fdp%2FB07TZRWG21%2Fref%3Dasc_df_B07TZRWG21%2F%3Ftag%3Dgooglemobshop-20%26amp%3Bamp%3BlinkCode%3Ddf0%26amp%3Bamp%3Bhvadid%3D341614789357%26amp%3Bamp%3Bhvpos%3D%26amp%3Bamp%3Bhvnetw%3Dg%26amp%3Bamp%3Bhvrand%3D7803419278853758179%26amp%3Bamp%3Bhvpone%3D%26amp%3Bamp%3Bhvptwo%3D%26amp%3Bamp%3Bhvqmt%3D%26amp%3Bamp%3Bhvdev%3Dm%26amp%3Bamp%3Bhvdvcmdl%3D%26amp%3Bamp%3Bhvlocint%3D%26amp%3Bamp%3Bhvlocphy%3D9000842%26amp%3Bamp%3Bhvtargid%3Dpla-813269724683%26&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,43412,9
11,MTLGuru,"Jun 24th, 2020 6:12 am","July 1, 2020","Jun 26th, 2020 8:01 pm",,,3,,,Groceries,Week of 25th of June to 1st of July grocery round up (QUEBEC),,1563,19
