,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
1205,eveningside,2020-06-27 15:30:00,,2020-06-27 16:33:00,,69.0,1,0.5,Walmart,Home & Garden,Root Farm LED Grow light 50% OFF $69,,1584,3
1206,-KILO-,2020-06-27 13:39:00,,2020-06-27 16:08:00,Computers & Electronics,78.0,5,,Walmart,Home Theatre & Audio,$78 YMMV - RCA Home Theater Projector,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Frca-150-home-theater-projector%2F6000200181562%23find-in-store-section&amp;u1=rfdcb,2051,-2
1207,mymuro,2020-06-27 14:00:00,,2020-06-27 16:06:00,Computers & Electronics,,8,,Microsoft Store,Video Games,Once Upon a Death Xbox One Edition *Free,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36509&amp;murl=https%3A%2F%2Fwww.microsoft.com%2Fen-ca%2Fp%2Fonce-upon-a-death%2F9pnjvl738hr4%3Factivetab%3Dpivot%3Aoverviewtab&amp;u1=rfdcb,2851,20
1208,Hermes213,2020-05-20 04:27:00,,2020-06-27 15:23:00,,10.0,141,0.3333333333333333,American Express,Restaurants,American Express - $5 off $10 UberEats/Skipthedishes,,30693,119
1209,eypc,2020-06-16 10:02:00,2020-06-21 00:00:00,2020-06-27 14:18:00,Computers & Electronics,374.99,126,0.11764982705475423,Costco,Computers & Tablets/eReaders,"New Apple iPad 10.2"" 32GB $369.99 Gold or $374.99 Grey",https://www.costco.ca/tablets-netbooks.html?brand=apple&amp;screen-size=2591-cm-102-in&amp;refine=ads_fbrand_ntk_cs%253A%2522Apple%2522|ads_f142555_ntk_cs%253A%252225.91%2Bcm%2B%252810.2%2Bin.%2529%2522|,33207,27
1210,MisterEyeCandy,2020-06-26 21:03:00,2020-07-02 00:00:00,2020-06-27 14:11:00,Computers & Electronics,83.99,7,0.19232618521011638,Staples,Peripherals & Accessories,Cooler Master MasterWatt 750 750W 80+ Bronze Semi-Fanless Power Supply($103.99-$20.00=$83.99),https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2864121-en-masterwatt-750-semi-fanless-power-supply-mpx-7501-amaab-us?variant=19663045460037,2588,5
1211,PeterS582,2020-06-27 00:06:00,,2020-06-27 13:34:00,Entertainment,35.99,7,,Awin1,"Books, Music, Movies, Magazines",Star Wars Rise of Skywalker 3D bluray 35.99,http://www.awin1.com/cread.php?awinmid=6037&amp;awinaffid=139736&amp;clickref=&amp;p=https://www.zavvi.com/blu-ray/star-wars-the-rise-of-skywalker-3d/12414251.html,1417,-3
1212,ben2003,2020-06-27 12:18:00,,2020-06-27 13:23:00,Home & Garden,699.99,1,,Costco,Furniture,Thomasville Casey Brown Top Grain Leather Power Recliner 699.99,https://www.costco.ca/thomasville-casey-brown-top-grain-leather-power-recliner.product.100570091.html,1579,-2
1213,DealCanuck,2020-06-26 21:58:00,,2020-06-27 12:38:00,Automotive,69.99,13,,Princess Auto,Auto Parts & Accessories,Rhino 16000lbs ramp $69.99 + FS,https://www.princessauto.com/en/detail/16-000-lb-rhino-vehicle-ramps/A-p8607582e,2731,4
1214,aznflava,2020-06-26 09:03:00,,2020-06-27 12:27:00,Kids & Babies,19.99,16,,Costco,School Supplies,Moleskine Ruled Cahier Journal (6-Pack) - $19.99,,5378,5
1215,crm2003,2020-06-27 10:01:00,2020-06-30 00:00:00,2020-06-27 12:19:00,,129.99,5,0.55,Best Buy,Computers & Electronics,Ring Bell/Amazon Echo Show Combo,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/ring-door-view-cam-wi-fi-video-doorbell-amazon-echo-show-5-charcoal/B0012252,1785,-1
1216,fruzmatik,2020-06-12 20:21:00,,2020-06-27 12:15:00,Computers & Electronics,109.99,33,,Amazon.ca,Other,Ring Doorview Camera with Echo Dot (Charcoal) $109.99,http://Ring Doorview Camera with Echo Dot (Charcoal),15279,20
1217,inferno_gn,2020-06-25 10:34:00,,2020-06-27 12:13:00,Computers & Electronics,19.97,4,,Amazon.ca,Video Games,Amazon.ca/BestBuy.ca: Switch SNK Heroines: Tag Team Frenzy - 19.97$...,,1907,9
1218,ricky2k1,2020-06-26 20:54:00,,2020-06-27 10:30:00,Entertainment,35.0,14,0.29,Chapters Indigo,Other,PANDEMIC RAPID RESPONSE Board Game $35,http://www.anrdoezrs.net/click-749547-10437934?url=https%3A%2F%2Fwww.chapters.indigo.ca%2Fen-ca%2Ftoys%2Fpandemic-rapid-response-game%2F841333108328-item.html%3Fikwsec%3DKidsAndToys%26ikwidx%3D8%23algoliaQueryId%3D4d96064d23de776582e773514303d704&amp;sid=rfdcb,3565,7
1219,idiotcanuck,2020-06-26 22:53:00,2020-07-02 00:00:00,2020-06-27 10:26:00,Computers & Electronics,118.0,1,,Visions Electronics,Home Theatre & Audio,"JBL Everest 710GA Wireless Over-Ear Headphones with Google Assistant $118 W/FS, $112 ISPU",https://www.visions.ca/catalogue/category/ProductResults.aspx?categoryId=0&amp;searchText=JBLV710GABT,1616,2
1220,BeeBeeRFD,2020-06-20 02:55:00,2020-06-30 00:00:00,2020-06-27 09:44:00,,399.97,24,,Costco,Home & Garden,"Haiku C ceiling fan by Big Ass Fans - $399.97 (West Edmonton, YMMV)",,10697,5
1221,RajjKhan,2020-06-27 01:02:00,,2020-06-27 09:18:00,Apparel,69.98,7,,Browns shoes,Men's Shoes,Browns Sandals - $69.98 + additional 25% off second pair,"https://www.brownsshoes.com/BROWNS/11129919,default,pd.html",2827,-10
1222,frozatio,2020-06-26 12:57:00,,2020-06-27 09:10:00,,29.99,26,,Apple,Entertainment,"iTunes: The Good Wife, The Complete Series $29.99",http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fitunes.apple.com%2Fca%2Ftv-season%2Fthe-good-wife-the-complete-series%2Fid1352556291,2996,-2
1223,Sheff45,2020-06-04 13:36:00,,2020-06-27 08:40:00,,329.99,39,,Amazon.ca,Home & Garden,KitchenAid Artisan Series Stand Mixers $329.99 (Amazon),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB005PMEHBG%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,8720,1
1224,thirupiran,2020-06-26 20:50:00,2020-07-02 00:00:00,2020-06-27 03:25:00,Computers & Electronics,299.99,5,0.2500062501562539,Best Buy,Peripherals & Accessories,"Samsung 28"" 4K UHD 60Hz 1ms GTG TN LED FreeSync Gaming Monitor",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/samsung-samsung-28-4k-uhd-60hz-1ms-gtg-tn-led-freesync-gaming-monitor-u28e590d-black-titanium-silver-u28e590d/10383477,3164,1
1225,absolutcamper,2020-06-20 16:59:00,,2020-06-27 03:06:00,,34.99,8,,Urban Fare,Groceries,Urban Fare Wagyu Ribeye $34.99lb (GVA),https://www.flyertown.ca/h/m/urbanfare/weekly/browse?chrome=broadsheet&amp;flyer_run_id=534445&amp;locale=en&amp;type=1,4661,6
1226,clementlim,2020-06-20 15:14:00,,2020-06-27 02:34:00,Home & Garden,513.3,3,0.36,Home Depot,Home Improvement & Tools,"Bosch GCM12SD Duel-Bevel Glide Miter Saw - 12"" ($513.30)",http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.rona.ca%2Fen%2Fbosch-dual-bevel-glide-miter-saw-12-gcm12sd-19835411,2730,5
1227,junglebox,2020-06-27 00:48:00,,2020-06-27 01:32:00,Computers & Electronics,,2,1.0,Apple,Video Games,Railways! - Free for a limited time,https://apps.apple.com/app/id1492002834,3750,29
